Title,Chain,Category,Type of Issue,Funds Lost,Date
SIR,ETH,Exchange (DeFi),Other,"$355,000",2025-03-30
Vicuna,Other,Borrowing & Lending,Oracle Issue,"$700,000",2025-03-28
Abracadabra,ARB,Exchange (DeFi),Other,"$13,000,000",2025-03-25
Zoth,ETH,Other,Access Control,"$8,320,000",2025-03-21
BBX Token,BSC,Token,Other,"$12,000",2025-03-20
Arcade,BSC,Token,Access Control,"$5,000",2025-03-17
WebKeyDao,BSC,Other,Other,"$737,000",2025-03-15
Berally,Other,Other,Access Control,"$90,000",2025-03-15
MAID,ETH,Token,Access Control,"$166,000",2025-03-13
ModelpiToken,BSC,Token,Other,"$107,000",2025-03-10
1Inch,ETH,Exchange (DeFi),Reentrancy,"$2,600,000",2025-03-06
Zoth,ETH,Other,Oracle Issue,"$285,000",2025-03-01
Suji Yan,ETH,Other,Phishing,"$4,000,000",2025-02-27
Infini,ETH,Stablecoin,Access Control,"$50,000,000",2025-02-24
StepHeroNFTs,BSC,NFT,Reentrancy,"$90,000",2025-02-21
Bybit,ETH,CeFi,Access Control,"$1,400,000,000",2025-02-21
zkLend,ETH,Borrowing & Lending,Other,"$9,500,000",2025-02-12
OpenOcean,Base,Exchange (DeFi),Other,"$22,000",2025-02-11
Four.Meme,BSC,Gaming / Metaverse,Other,"$183,000",2025-02-11
Peapods Finance,ETH,Yield Aggregator,Other,"$3,500",2025-02-08
Ionic,Other,Exchange (DeFi),Other,"$12,300,000",2025-02-04
Phemex,ETH,CeFi,Other,"$37,000,000",2025-01-23
AST Token,BSC,Token,Other,"$64,700",2025-01-21
The Idols NFT,ETH,NFT,Other,"$340,000",2025-01-14
BIGO,BSC,Token,Other,"$18,000",2025-01-14
UniLend,ETH,Borrowing & Lending,Other,"$200,000",2025-01-13
FortuneWheel,BSC,Gaming / Metaverse,Other,"$21,000,000",2025-01-10
Mosca,BSC,Yield Aggregator,Other,"$19,500",2025-01-08
Orange Finance,ARB,Yield Aggregator,Access Control,"$840,000",2025-01-08
LAURA,ETH,Token,Other,"$48,000",2025-01-08
Moby Trade,ARB,Exchange (DeFi),Access Control,"$2,500,000",2025-01-08
MSCST,BSC,DeFi,Flash loan attack,"$130,000",2025-12-29
Futureswap,ETH,DeFi,Governance Attack,"$830,000",2025-12-17
Port3 Network,BSC,DeFi,Contract Vulnerability,"$830,000",2025-11-23
Aerodrome,Base,DeFi,Domain Hijacking,"$700,000",2025-11-21
Berachain,-,Blockchain,Contract Vulnerability,"$12,800,000",2025-11-03
MIN Spell,ETH,DeFi,Contract Vulnerability,"$1,790,000",2025-10-04
dTRINITY,-,DeFi,Contract Vulnerability,"$56,000",2025-09-28
Yala,-,DeFi,Security Vulnerability,"$7,640,000",2025-09-14
Kame Aggregator,-,DeFi,Contract Vulnerability,"$1,320,000",2025-09-12
Equilibria Finance,ETH,DeFi,Contract Vulnerability,"$62,500",2025-08-24
ABCCApp,BSC,DeFi,Contract Vulnerability,"$10,100",2025-08-23
VDS,BSC,DeFi,Business Logic Flaw,"$13,000",2025-07-17
Kinto,ARB,DeFi,Contract Vulnerability,"$1,550,000",2025-07-10
Texture,SOL,DeFi,Contract Vulnerability,"$2,200,000",2025-07-09
ZKSwap,ETH,Bridge,Contract Vulnerability,"$5,000,000",2025-07-09
MobiusDAO,BSC,DeFi,Contract Vulnerability,"$2,150,000",2025-05-11
Grafana,-,Other,Malicious Code Injection Attack,-,2025-04-26
Term Labs,-,DeFi,Human Error,"$1,650,000",2025-04-26
Zapper,-,DeFi,Domain Hijacking,"$7,900,000",2025-04-01
Voltage Finance,Fuse,DeFi,Contract Vulnerability,"$320,000",2025-03-18
CAT Protocol,BTC,Other,Contract Vulnerability,-,2025-01-15
BUIDL,BSC,DeFi,Contract Vulnerability,"$8,000",2025-01-12
Alien Base,Base,DeFi,Contract Vulnerability,"$38,000",2025-01-10
HORS,BSC,DeFi,Contract Vulnerability,"$10,300",2025-01-08
IPC,BSC,DeFi,Contract Vulnerability,"$590,000",2025-01-07
Sorra,ETH,DeFi,Contract Vulnerability,-,2025-01-04
NoOnes,SOL,Exchange,Security Vulnerability,"$7,900,000",2025-01-01
